assertion_id,rule,side,事件,结论,依据,经典原文
jk_101,五行,bazi,健康,五行缺木：肝/胆/筋骨/目 偏弱,木主肝（《黄帝内经》东方生风，风生木，木生酸，酸生肝）,《黄帝内经》东方生风，风生木，木生酸，酸生肝）
jk_102,五行,bazi,健康,五行缺火：心/小肠/血脉 偏弱,火主心（南方生热，热生火，火生苦，苦生心）,《黄帝内经》五行五脏：缺火主心/小肠/血脉偏弱
jk_103,五行,bazi,健康,五行缺土：脾/胃/肌肉 偏弱,土主脾（中央生湿，湿生土，土生甘，甘生脾）,《黄帝内经》五行五脏：缺土主脾/胃/肌肉偏弱
jk_104,五行,bazi,健康,五行缺金：肺/大肠/鼻/皮毛 偏弱,金主肺（西方生燥，燥生金，金生辛，辛生肺）,《黄帝内经》五行五脏：缺金主肺/大肠/鼻/皮毛偏弱
jk_111,五行,bazi,健康,五行缺水：肾/脑/骨 偏弱（肾主骨生髓，髓通于脑）,肾主骨生髓、脑为髓海（《黄帝内经·素问》《灵枢·海论》）,《黄帝内经·素问》《灵枢·海论》）
xg_101,五行,bazi,性情,仁慈温和、重情义、有条理,木主仁，性直情和（《滴天髓》木之性仁）,《滴天髓》木之性仁）
xg_102,五行,bazi,性情,性急外向、热情、重礼,火主礼，性急而明（《滴天髓》火之性燥）,《滴天髓》火之性燥）
xg_103,五行,bazi,性情,敦厚守信、沉稳、包容,土主信，性厚而重（《滴天髓》土之性重）,《滴天髓》土之性重）
xg_104,五行,bazi,性情,刚毅果断、重义气、原则性强,金主义，性刚而决（《滴天髓》金之性刚）,《滴天髓》金之性刚）
xg_105,五行,bazi,性情,智巧多思、善变通、城府深,水主智，性巧而流（《滴天髓》水之性聪）,《滴天髓》水之性聪）
liu_101,六亲,bazi,父星状态,父星旺而得地且不受克：父亲有地位或家计丰足（比劫夺财者父寿有损，不判无忧）,偏财（父）得地而旺 → 父荣（0131 父为政府职员）,《渊海子平》六亲论：父星（偏财）旺而得地主父亲有地位/家计丰
liu_102,六亲,bazi,父星状态,父星弱：父亲寿数/运势恐有波折,偏财（父）不得令且不强 → 父星衰（0047 父短寿）,《渊海子平》六亲论：父星弱主父亲寿数/运势波折
liu_103,六亲,bazi,父星状态,父星不现/不得地：父缘薄或父早不在身边,偏财（父）不现 → 父缘虚,《渊海子平》六亲论：父星不现主父缘薄或父早
liu_201,六亲,bazi,母星状态,母星得令：母亲康寿、荫庇厚,印（母）得令 → 母星旺（0047 母长寿）,《渊海子平》六亲论：母星（正印）得令主母亲康寿荫庇厚
liu_202,六亲,bazi,母星状态,母星弱：母亲体弱或母缘薄,印（母）不透无根 → 母星衰（0011 小时不在父母身边）,《渊海子平》六亲论：母星弱主母亲体弱或母缘薄
liu_301,六亲,bazi,父母关系,财印相战且母弱：父母关系有失和/母受压倾向,财旺克印 → 父凌母，家庭失和（《子平真诠》财印相战）,《子平真诠》财印相战）
liu_302,六亲,bazi,父母关系,父母星俱得地且无相战：父母关系大体正常,父母星各安其位 → 家庭和谐,《渊海子平》六亲论：父母星俱得地无相战主父母关系大
liu_401,六亲,bazi,兄弟,比劫旺：兄弟姐妹多或竞争多,比劫旺 → 兄弟多/同侪竞争（0011 兄弟关系淡薄）,《渊海子平》六亲论：比劫旺主兄弟姐妹多/竞争多
liu_402,六亲,bazi,兄弟,比劫不旺：兄弟姐妹少或关系淡,比劫少 → 兄弟缘薄,《渊海子平》六亲论：比劫不旺主兄弟姐妹少/关系淡
lq_301,六亲,bazi,六亲,财星（父星）受比劫所克——父寿不永/父坎坷（《滴天髓》比劫夺财父星受损；0047 火旺克金父短寿）,比劫克财主父缘/父寿受损（《滴天髓》比劫夺财）,《滴天髓》比劫夺财
liu_501,六亲,bazi,父星关系,年柱被刑 → 与父亲关系不睦（宫刑伤父宫）,年柱为父之宫位（family.md：年柱被刑→与父亲关系不睦）——星（偏财父星）宫（年柱父宫）分野,《三命通会》宫位论
liu_502,六亲,bazi,兄弟,月柱被刑 → 兄弟姐妹散落/不睦（宫刑伤兄弟宫）,月柱为兄弟姐妹宫（family.md：月柱冲刑→兄弟姐妹散落或不睦）——比劫为兄弟星，月支刑伤主散,《三命通会》宫位论
liu_503,六亲,bazi,子女关系,时柱被刑 → 与子女关系不睦（宫刑伤子女宫）,时柱为子女宫（family.md：时柱冲刑→与子女关系不睦）——子女星为男官杀/女食伤，时支刑伤主不睦,《三命通会》宫位论
zv_103,六亲,bazi,子女,八字子女星得地 + 无枭印夺食（印旺克食伤）——有子女缘；克夺之象（枭印夺食）优先于得地——子嗣艰难（《三命通会》枭神夺食子嗣艰难；0058 无儿女）,《三命通会》枭神夺食，子嗣艰难——克夺之象 > 得地之象；0058 印旺克食伤（枭印夺食）致无儿女,《三命通会》枭神夺食，子嗣艰难
zv_106b,六亲,bazi,子女,食伤重（八字）→ 子女缘（女命食伤为子女星）,女命食伤为子女星（八字六亲）——紫微子女宫看宫位状态（ziwei_zinv 承担——双盘对照）,《三命通会》论子女
zv_201,六亲,bazi,子女,时柱/命局枭印旺克食伤 → 克子息信号（子女缘薄/孕期波折）,印克食伤=克子女星（参考 mingli-skills phase6 6.5：时柱枭印克子、食伤被枭夺）,《渊海子平》论子女：枭印旺克食伤主克子息
zv_202,六亲,bazi,子女,食伤生财 → 子女富裕/有财,食伤生财主子女生财（参考 mingli-skills phase6 6.5：食伤生财→子女富裕）,《渊海子平》食伤生财：食伤生财主子女富裕有财
fam_101,出身,bazi,出身贫富,从杀格（杀旺身弱弃命从杀）——反主贵显,从杀格（杀旺身弱弃命从杀）→ 反主贵显（0117，《渊海子平》从格）,《渊海子平》从格
fam_102,出身,bazi,出身贫富,年柱官杀（祖上宫）攻身 + 财透坏印——祖业飘零、出身寒微,年柱官杀（祖上宫）攻身 + 财透坏印（家计被财所坏）→ 祖业飘零、出身寒微（《渊海子平》年上七杀；0071 印多但财坏印仍贫穷）,《渊海子平》年上七杀
fam_103,出身,bazi,出身贫富,身强任财 + 财透有根且祖上无官杀攻身——家道殷实（年柱官杀攻身者出身寒微优先，不判殷实）,身强任财 + 财透有根 → 家道殷实（F1）,《滴天髓》身强任财：身强财透有根主家道殷实（小康）
fam_104,出身,bazi,出身贫富,身强印透（财弱）且无枭神夺食——父母助力、家世有源（枭神夺食财藏无根者贫优先）,身强印透（财弱）→ 父母助力、家世有源（F0b）,《渊海子平》印绶论：身强印透有根主家世有源（中产）
fam_105,出身,bazi,出身贫富,印星有气荫庇厚——家世有源（印绶主荫庇）；财旺坏印者不在此列,印星有气荫庇厚，家世有源（印绶主母、主荫庇、主家世）；财旺者坏印，印荫庇失效不在此列（《渊海子平》财坏印）,《渊海子平》财坏印
fam_105b,出身,bazi,出身贫富,财多身弱（富屋贫人）——出身富家、家底殷实，但自身难任其财,财多身弱（富屋贫人）——出身富家、家底殷实，但自身难任其财（《三命通会》富屋贫人；0117 身弱财旺出身富贵）；印有气者走印荫庇（fam_105）不在此列,《三命通会》富屋贫人
fam_107,出身,bazi,出身贫富,印重财弱——家计平平、无财,印重财弱 → 家计平平、无财（F3）,《渊海子平》财星论 + 比劫夺财：财弱比劫重主家道中落（贫穷）
fam_107b,出身,bazi,出身贫富,枭神夺食（印星旺克食伤）+ 财藏无根——贫（生财之源被夺）,枭神夺食（印星旺克食伤）夺生财之源 + 财藏无根（财源未立）→ 贫（《渊海子平》枭神夺食主贫；0121 印旺克食伤且财藏）——财透有根者财源已立，食伤被夺不贫（0036 小康）,《渊海子平》枭神夺食
fam_108,出身,bazi,出身贫富,财多身不任——富屋贫人而不至于赤贫,财多身不任 → 富屋贫人而不至于赤贫（F4）；枭神夺食者财旺亦贫（0121）,《三命通会》富屋贫人：财旺身中和主家富己弱（普通）
fam_109-not1,出身,bazi,出身贫富,财星得地但身不任——普通盈余不多,财星得地但身不任 → 普通盈余不多（F5）；财坏印者贫穷（0071）、身强任财者小康（0036）,《三命通会》富屋贫人：财透有根而身不任主普通盈余不多
