id,事件,结论,依据,经典原文,日主五行,土多,木旺,身强弱,木日主受金克,金旺,食伤泄秀,印重
wai_101-or1,身材,身材高瘦细长、身姿挺拔,木主条达舒展，日主木旺 → 高瘦挺拔（0118 乙木高瘦）,《麻衣相法》五行形相：木形人身姿修长挺拔,木,0,1,,,,,
wai_101-or2,身材,身材高瘦细长、身姿挺拔,木主条达舒展，日主木旺 → 高瘦挺拔（0118 乙木高瘦）,《麻衣相法》五行形相：木形人身姿修长挺拔,木,0,,中和,,,,
wai_102,身材,身材细瘦、骨感（木受制则形弱）,木被金克 → 形体受制，细瘦,《麻衣相法》五行形相：木受制则形体清瘦骨感,木,0,,,1,,,
wai_103,身材,身材偏矮、体态敦实（土多主厚重）,木日主而土多（土主敦实厚重）→ 压其条达，偏矮实（0009 甲木土3矮胖）,《麻衣相法》五行形相：土形人体态敦实偏矮,木,1,,,0,,,
wai_104,身材,骨架清朗、体格健壮,金主骨相刚健 → 骨架分明/健壮（0155 庚金健壮）,《麻衣相法》五行形相：金形人骨架清朗体格健壮,金,,,,,,,
wai_105,外貌,皮肤白皙,金主白色 → 金旺肤色白（0118 金旺白皙）,《麻衣相法》五行形相：金水主肤白,,,,,,1,,
wai_106,身材,体态圆润、偏丰盈,水主润下趋圆 → 圆润丰满,《麻衣相法》五行形相：水形人体态丰盈,水,,,,,,,
wai_107,身材,身材中高、偏瘦、面部尖削,火主炎上尖透 → 中高偏瘦,《麻衣相法》五行形相：火形人面尖削、中高偏瘦,火,,,,,,,
wai_108,身材,体态敦实、偏矮,土主厚重 → 敦实偏矮,《麻衣相法》五行形相：土多主敦实偏矮,土,,,,,,,
wai_109,身材,身材偏瘦（食伤泄秀主清瘦；水土日主不在此列）,日主木 + 食伤泄秀 → 形体清瘦,《麻衣相法》五行形相：食伤泄秀主形体清瘦,木,,,,,,1,
wai_109b,身材,身材偏瘦（食伤泄秀主清瘦；水土日主不在此列）,日主火 + 食伤泄秀 → 形体清瘦,《麻衣相法》五行形相：食伤泄秀主形体清瘦,火,,,,,,1,
wai_109c,身材,身材偏瘦（食伤泄秀主清瘦；水土日主不在此列）,日主金 + 食伤泄秀 → 形体清瘦,《麻衣相法》五行形相：食伤泄秀主形体清瘦,金,,,,,,1,
wai_110,身材,体态敦实（印重主丰实）,印星重 → 形体丰实,《麻衣相法》五行形相：印重主丰实敦厚,,,,,,,,1
