id,事件,结论,依据,经典原文,女命官星得地格,食伤生财,官杀透,比劫旺,身强弱,官杀有力,官印相生,食伤旺,财星透有根,配偶星透,配偶星受克,大运配偶星,寡宿,夫妻宫被冲,性别,夫妻宫破,配偶星藏,配偶星混杂,比劫重,配偶星得地,官杀取清,配偶星现,桃花,伤官克官,配偶星得令,夫妻宫被合,夫妻宫被刑,夫妻宫被害,月令本气十神,伤官旺,食神旺,印星旺,印星透,七杀现,枭神夺食,比劫夺财,日主,日主长生状态,官杀得令,财坏印,印星现,官杀多,食伤透,财星得地,财星弱,财星得令,驿马,财星透,财库现,财星入墓,正财透,偏财透,财星现,伤官现,劫财旺,正印旺,偏财旺,七杀旺,偏印旺,正财旺
shi_102,事业档位,官透 + 比劫旺 + 无食伤生财 + 非主妇——循规安分，一份工做到退休,官透 + 比劫旺 + 无食伤生财 + 非主妇 → 循规安分，一份工做到退休（S5）；女命主妇者不判打工（0016）,《子平真诠》官印论：官透比劫旺而无食伤生财主循规安分（稳定）,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shi_103,事业档位,技术/专业,身弱食伤泄秀 → 以专业技能立身（工程师/专家/手艺）（《滴天髓》食伤泄秀）,《滴天髓》食伤泄秀）,,1,,,身弱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shi_104,事业档位,食伤生财 + 官杀有力身强——经商兼掌事,食伤生财 + 官杀有力身强 → 经商兼掌事,《滴天髓》食伤生财：食伤生财而比劫旺主老板兼管理层,,1,,,中和,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shi_105,事业档位,食伤生财（食伤透+财有根）——自我经营,食伤生财（食伤透+财有根）→ 自我经营,《滴天髓》食伤生财：食伤生财主经商/创业（老板）,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shi_108,事业档位,财透有根 + 非主妇——工作有财,财透有根 + 非主妇 → 工作有财；女命主妇者不判打工（0016）,《滴天髓》财星论：财透有根而无比劫夺财主工作有积蓄（打工）,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shi_109,事业档位,身弱无专长、无成格之象——普通务工（兜底）,身弱无格局无专长——普通务工（《子平真诠》格局无成）,《子平真诠》十神论：官杀/食伤/财皆不显主普通打工,0,0,0,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_101,婚姻状态,财星透干且不受克、大运无财星引动、夫妻宫无冲无寡宿——妻星得地，婚可成且稳定（宫冲/寡宿者婚可成但波折/晚——星宫同参，不判稳定）,男命财星透干且不受克 → 婚可成（《渊海子平》财星透干方为妻星得地）；夫妻宫逢冲/寡宿者婚姻过程波折或婚缘迟——星吉宫凶并存时星宫同参（《三命通会》星宫同参），不判稳定,"《渊海子平》""财星透干方为妻星得地""）",,,,,,,,,,1,0,0,0,0,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_101b,婚姻状态,配偶星透干（星吉）但夫妻宫被冲（宫凶）——婚可成但过程波折/多变（星宫同参）,星宫同参：配偶星透干主婚能成（《渊海子平》财星透干），夫妻宫逢冲主婚姻过程波折（《三命通会》夫妻宫冲）——星吉宫凶并存，婚可成而波折,《三命通会》星宫同参,,,,,,,,,,1,,,,1,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_102,婚姻状态,财透而比劫夺财、夫妻宫破——婚缘受损，婚而不久,财透但比劫夺财 + 夫妻宫破 → 婚变（《滴天髓》比劫夺财主婚缘受损）,《滴天髓》比劫夺财主婚缘受损）,,,,,,,,,,1,1,,,,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_103,婚姻状态,财藏支不透、比劫旺夺财、大运得妻——婚可成但多摩擦,财藏支不透 + 比劫旺夺财 + 大运得妻 → 婚可成但多摩擦；财透干者妻星显被劫（走未婚）、财混杂者妻缘不专（0134/0139）,《滴天髓》比劫夺财：男命财星为妻，比劫旺夺财主婚可成而多摩擦,,,,,,,,,,0,,1,,,male,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
