assertion_id,rule,name,conclusion,basis
qimen_lost_property_fan_yin,lost_property,反吟,有复得候选：事体反复而物可复见,《奇门遁甲秘笈大全·卷九·占失物》：反吟者，亦得
qimen_lost_property_shi_gan_void,lost_property,时干落空亡,难复得候选：失物之宫未实,《奇门遁甲秘笈大全·卷九·占失物》：落空亡、墓、绝之宫，不得
qimen_lost_property_shi_sheng_ri_wang,lost_property,时干宫旺相生日干宫,有复得候选：失物之气旺相生失主,《奇门遁甲秘笈大全·卷九·占失物》：时干落宫乘旺相气来生日干落宫者，仍得
qimen_lost_property_shi_sheng_ri_xiang,lost_property,时干宫相生日干宫,有复得候选：失物之气相生失主,《奇门遁甲秘笈大全·卷九·占失物》：时干落宫乘旺相气来生日干落宫者，仍得
qimen_thief_capture_controls_peng,thief_capture,勾陈制天蓬,有利捕获候选：捕盗之神克制大贼,《奇门遁甲秘笈大全·卷九·占捕盗贼》：勾陈落宫克蓬元之落宫者，捕之必获；庚格应期另论
qimen_thief_capture_controls_xuanwu,thief_capture,勾陈制玄武,有利捕获候选：捕盗之神克制小贼,《奇门遁甲秘笈大全·卷九·占捕盗贼》：勾陈落宫克蓬元之落宫者，捕之必获；庚格应期另论
qimen_thief_capture_peng_controls_capture,thief_capture,天蓬制勾陈,难捕候选：大贼气盛克制捕者,《奇门遁甲秘笈大全·卷九·占捕盗贼》：若蓬元克勾陈之宫，主贼旺，捕人不敢获
qimen_thief_capture_xuanwu_controls_capture,thief_capture,玄武制勾陈,难捕候选：小贼气盛克制捕者,《奇门遁甲秘笈大全·卷九·占捕盗贼》：若蓬元克勾陈之宫，主贼旺，捕人不敢获
qimen_thief_capture_peng_bihe,thief_capture,天蓬与勾陈比和,串通候选：捕者与大贼宫气比和,《奇门遁甲秘笈大全·卷九·占捕盗贼》：蓬元与勾陈宫比和者，必捕人通同为盗
qimen_thief_capture_xuanwu_bihe,thief_capture,玄武与勾陈比和,串通候选：捕者与小贼宫气比和,《奇门遁甲秘笈大全·卷九·占捕盗贼》：蓬元与勾陈宫比和者，必捕人通同为盗
qimen_thief_capture_peng_same_gong,thief_capture,勾陈与天蓬同宫,捕者为盗候选：捕者与大贼同宫,《奇门遁甲秘笈大全·卷九·占捕盗贼》：勾陈、蓬、元同宫，必捕人为盗
qimen_thief_capture_xuanwu_same_gong,thief_capture,勾陈与玄武同宫,捕者为盗候选：捕者与小贼同宫,《奇门遁甲秘笈大全·卷九·占捕盗贼》：勾陈、蓬、元同宫，必捕人为盗
qimen_thief_capture_peng_generates_capture,thief_capture,天蓬生勾陈,纵盗候选：大贼宫生捕者宫,《奇门遁甲秘笈大全·卷九·占捕盗贼》：蓬、元宫生勾陈宫者，捕人受贿，纵之不捕
qimen_thief_capture_xuanwu_generates_capture,thief_capture,玄武生勾陈,纵盗候选：小贼宫生捕者宫,《奇门遁甲秘笈大全·卷九·占捕盗贼》：蓬、元宫生勾陈宫者，捕人受贿，纵之不捕
qimen_missing_person_direction,missing_person,六合方向,方向候选：走失者以六合落宫为方向,《奇门遁甲元灵经·卷十八·占走失》：以六合所在之宫为方向
qimen_missing_person_wang_star_four_doors,missing_person,旺相星临四门,可得候选：六合宫旺相星又临景死惊伤四门,《奇门遁甲元灵经·卷十八·占走失》：六合宫得旺相之星又得景死惊伤四门者可得
qimen_missing_person_inner_inner,missing_person,时干六合俱内,易寻候选：失主与走失者同在内宫,《奇门遁甲元灵经·卷十八·占走失》：时干、六合俱在内四宫为易寻
qimen_missing_person_outer_outer,missing_person,时干六合俱外,难寻候选：失主与走失者同在外宫,《奇门遁甲元灵经·卷十八·占走失》：时干、六合俱在外四宫为难寻
qimen_missing_person_outer_hour_inner_liuhe,missing_person,时干外六合内,犹可寻候选：失主在外而走失者在内,《奇门遁甲元灵经·卷十八·占走失》：时干在外六合在内犹可寻
