id,事件,从杀格,年柱官杀攻身,财坏印,身强,财透有根,印透,印多,身弱,印有气,财旺,财透,财多,财弱,枭神夺食,身中和,结论,依据,经典原文
fam_101,出身贫富,1,,,,,,,,,,,,,,,从杀格（杀旺身弱弃命从杀）——反主贵显,从杀格（杀旺身弱弃命从杀）→ 反主贵显（0117，《渊海子平》从格）,《渊海子平》从格）
fam_102,出身贫富,,1,1,,,,,,,,,,,,,年柱官杀（祖上宫）攻身 + 财透坏印——祖业飘零、出身寒微,年柱官杀（祖上宫）攻身 + 财透坏印（家计被财所坏）→ 祖业飘零、出身寒微（《渊海子平》年上七杀；0071 印多但财坏印仍贫穷）,《渊海子平》年上七杀
fam_103,出身贫富,,,,1,1,,,,,,,,,,,身强任财 + 财透有根——家道殷实,身强任财 + 财透有根 → 家道殷实（F1）,《滴天髓》身强任财：身强财透有根主家道殷实（小康）
fam_104,出身贫富,,,,1,0,1,1,,,,,,,,,身强印透（财弱）——父母助力、家世有源,身强印透（财弱）→ 父母助力、家世有源（F0b）,《渊海子平》印绶论：身强印透有根主家世有源（中产）
fam_105,出身贫富,,,,,,,,1,1,0,,,,,,印星有气荫庇厚——家世有源（印绶主荫庇）；财旺坏印者不在此列,印星有气荫庇厚，家世有源（印绶主母、主荫庇、主家世）；财旺者坏印，印荫庇失效不在此列（《渊海子平》财坏印）,《渊海子平》财坏印）
fam_105b,出身贫富,,,,,,,,1,0,1,,,,,,财多身弱（富屋贫人）——出身富家、家底殷实，但自身难任其财,财多身弱（富屋贫人）——出身富家、家底殷实，但自身难任其财（《三命通会》富屋贫人；0117 身弱财旺出身富贵）；印有气者走印荫庇（fam_105）不在此列,《三命通会》富屋贫人
fam_106,出身贫富,,,,,,,,1,0,,1,1,,,,财多身弱（无印荫庇）——家财难任，出身靠自己奋斗,财多身弱（无印荫庇）→ 家财难任，出身靠自己奋斗（《三命通会》富屋贫人）,《三命通会》富屋贫人）
fam_107,出身贫富,,,,,,,1,,,,,,1,,,印重财弱——家计平平、无财,印重财弱 → 家计平平、无财（F3）,《渊海子平》财星论 + 比劫夺财：财弱比劫重主家道贫寒
fam_107b,出身贫富,,,,,0,,,,,,,,,1,,枭神夺食（印星旺克食伤）+ 财藏无根——贫（生财之源被夺）,枭神夺食（印星旺克食伤）夺生财之源 + 财藏无根（财源未立）→ 贫（《渊海子平》枭神夺食主贫；0121 印旺克食伤且财藏）——财透有根者财源已立，食伤被夺不贫（0036 小康）,《渊海子平》枭神夺食主贫
fam_108,出身贫富,,,,,,,,,,1,,,,0,1,财多身不任——富屋贫人而不至于赤贫,财多身不任 → 富屋贫人而不至于赤贫（F4）；枭神夺食者财旺亦贫（0121）,《三命通会》富屋贫人：财旺身中和主家富己弱（普通）
fam_109,出身贫富,,,0,0,1,,,,,,,,,,,财星得地但身不任——普通盈余不多,财星得地但身不任 → 普通盈余不多（F5）；财坏印者贫穷（0071）、身强任财者小康（0036）,《三命通会》富屋贫人：财透有根而身不任主普通盈余不多
fam_110,出身贫富,,,,1,0,,,,,,,,,,,身强财弱（财不透）——有稳定来源非大富,身强财弱（财不透）→ 有稳定来源非大富（F6）；身强财透有根者小康（0036）,《滴天髓》身强财弱：身强财不透主有稳定来源非大富（普通）
fam_111,出身贫富,,,,,,,,1,,,,,1,,,财弱身弱——出身寒微（兜底）,财弱身弱 → 出身寒微（兜底）,《渊海子平》比劫夺财：比劫重而财弱主家道中落（贫穷）
