assertion_id,condition_group_id,field,item_key,operator,expected
qimen_lost_property_fan_yin,1,patterns,name,array_some_equals,反吟
qimen_lost_property_shi_gan_void,1,kong_wang,symbol,array_some_equals,时干
qimen_lost_property_shi_sheng_ri_wang,1,ri_shi_relation,relation,equals,shi_generates_ri
qimen_lost_property_shi_sheng_ri_wang,1,shi_gan_gong_wang_shuai,wang_shuai,equals,旺
qimen_lost_property_shi_sheng_ri_xiang,1,ri_shi_relation,relation,equals,shi_generates_ri
qimen_lost_property_shi_sheng_ri_xiang,1,shi_gan_gong_wang_shuai,wang_shuai,equals,相
qimen_thief_capture_controls_peng,1,spirit_star_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_controls_peng,1,spirit_star_relations,star,array_some_equals,天蓬
qimen_thief_capture_controls_peng,1,spirit_star_relations,relation,array_some_equals,controls
qimen_thief_capture_controls_xuanwu,1,spirit_spirit_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_controls_xuanwu,1,spirit_spirit_relations,other,array_some_equals,玄武
qimen_thief_capture_controls_xuanwu,1,spirit_spirit_relations,relation,array_some_equals,controls
qimen_thief_capture_peng_controls_capture,1,spirit_star_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_peng_controls_capture,1,spirit_star_relations,star,array_some_equals,天蓬
qimen_thief_capture_peng_controls_capture,1,spirit_star_relations,relation,array_some_equals,controlled_by
qimen_thief_capture_xuanwu_controls_capture,1,spirit_spirit_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_xuanwu_controls_capture,1,spirit_spirit_relations,other,array_some_equals,玄武
qimen_thief_capture_xuanwu_controls_capture,1,spirit_spirit_relations,relation,array_some_equals,controlled_by
qimen_thief_capture_peng_bihe,1,spirit_star_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_peng_bihe,1,spirit_star_relations,star,array_some_equals,天蓬
qimen_thief_capture_peng_bihe,1,spirit_star_relations,relation,array_some_equals,same
qimen_thief_capture_peng_bihe,1,spirit_star_relations,same_gong,array_some_equals,false
qimen_thief_capture_xuanwu_bihe,1,spirit_spirit_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_xuanwu_bihe,1,spirit_spirit_relations,other,array_some_equals,玄武
qimen_thief_capture_xuanwu_bihe,1,spirit_spirit_relations,relation,array_some_equals,same
qimen_thief_capture_xuanwu_bihe,1,spirit_spirit_relations,same_gong,array_some_equals,false
qimen_thief_capture_peng_same_gong,1,spirit_star_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_peng_same_gong,1,spirit_star_relations,star,array_some_equals,天蓬
qimen_thief_capture_peng_same_gong,1,spirit_star_relations,relation,array_some_equals,same
qimen_thief_capture_peng_same_gong,1,spirit_star_relations,same_gong,array_some_equals,true
qimen_thief_capture_xuanwu_same_gong,1,spirit_spirit_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_xuanwu_same_gong,1,spirit_spirit_relations,other,array_some_equals,玄武
qimen_thief_capture_xuanwu_same_gong,1,spirit_spirit_relations,relation,array_some_equals,same
qimen_thief_capture_xuanwu_same_gong,1,spirit_spirit_relations,same_gong,array_some_equals,true
qimen_thief_capture_peng_generates_capture,1,spirit_star_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_peng_generates_capture,1,spirit_star_relations,star,array_some_equals,天蓬
qimen_thief_capture_peng_generates_capture,1,spirit_star_relations,relation,array_some_equals,generated_by
qimen_thief_capture_xuanwu_generates_capture,1,spirit_spirit_relations,spirit,array_some_equals,勾陈
qimen_thief_capture_xuanwu_generates_capture,1,spirit_spirit_relations,other,array_some_equals,玄武
qimen_thief_capture_xuanwu_generates_capture,1,spirit_spirit_relations,relation,array_some_equals,generated_by
qimen_missing_person_direction,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_direction,1,yong_shen_palaces,direction,array_some_in,北|东北|东|东南|南|西南|西|西北
qimen_missing_person_wang_star_four_doors,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_wang_star_four_doors,1,yong_shen_palaces,door,array_some_in,景门|死门|惊门|伤门
qimen_missing_person_wang_star_four_doors,1,yong_shen_palaces,star_traditional_label,array_some_in,旺|相
qimen_missing_person_inner_inner,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_inner_inner,1,yong_shen_palaces,domain,array_some_equals,inner
qimen_missing_person_inner_inner,1,shi_gan_domain,,equals,inner
qimen_missing_person_outer_outer,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_outer_outer,1,yong_shen_palaces,domain,array_some_equals,outer
qimen_missing_person_outer_outer,1,shi_gan_domain,,equals,outer
qimen_missing_person_outer_hour_inner_liuhe,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_outer_hour_inner_liuhe,1,yong_shen_palaces,domain,array_some_equals,inner
qimen_missing_person_outer_hour_inner_liuhe,1,shi_gan_domain,,equals,outer
qimen_missing_person_cangshen,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_cangshen,1,yong_shen_palaces,spirit,array_some_equals,九地
qimen_missing_person_cangshen,2,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_cangshen,2,yong_shen_palaces,spirit,array_some_equals,太阴
qimen_missing_person_jiutian,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_jiutian,1,yong_shen_palaces,spirit,array_some_equals,九天
qimen_missing_person_xuanwu,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_xuanwu,1,yong_shen_palaces,spirit,array_some_equals,玄武
qimen_missing_person_tengshe,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_tengshe,1,yong_shen_palaces,spirit,array_some_equals,螣蛇
qimen_missing_person_zhuque,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_zhuque,1,yong_shen_palaces,spirit,array_some_equals,朱雀
qimen_missing_person_gouchen,1,yong_shen_palaces,symbol,array_some_equals,六合
qimen_missing_person_gouchen,1,yong_shen_palaces,spirit,array_some_equals,勾陈
qimen_capture_escape_escape_self_return,1,spirit_door_relations,spirit,array_some_equals,六合
qimen_capture_escape_escape_self_return,1,spirit_door_relations,door,array_some_equals,伤门
qimen_capture_escape_escape_self_return,1,spirit_door_relations,relation,array_some_equals,generates
qimen_capture_escape_escape_not_caught,1,spirit_door_relations,spirit,array_some_equals,六合
qimen_capture_escape_escape_not_caught,1,spirit_door_relations,door,array_some_equals,伤门
qimen_capture_escape_escape_not_caught,1,spirit_door_relations,relation,array_some_equals,controls
qimen_capture_escape_easy_capture,1,spirit_door_relations,spirit,array_some_equals,六合
qimen_capture_escape_easy_capture,1,spirit_door_relations,door,array_some_equals,伤门
qimen_capture_escape_easy_capture,1,spirit_door_relations,relation,array_some_equals,controlled_by
qimen_capture_escape_bribe_release,1,spirit_door_relations,spirit,array_some_equals,六合
qimen_capture_escape_bribe_release,1,spirit_door_relations,door,array_some_equals,伤门
qimen_capture_escape_bribe_release,1,spirit_door_relations,relation,array_some_equals,generated_by
qimen_capture_escape_collusion,1,spirit_door_relations,spirit,array_some_equals,六合
qimen_capture_escape_collusion,1,spirit_door_relations,door,array_some_equals,伤门
qimen_capture_escape_collusion,1,spirit_door_relations,relation,array_some_equals,same
qimen_capture_escape_collusion,1,spirit_door_relations,same_gong,array_some_equals,true
qimen_capture_escape_tianwang_yin_low,1,gan_interactions,heaven_gan,array_some_equals,癸
qimen_capture_escape_tianwang_yin_low,1,gan_interactions,range,array_some_equals,low
qimen_capture_escape_tianwang_yin_low,1,hour_polarity,,equals,yin
qimen_capture_escape_tianwang_high,1,gan_interactions,heaven_gan,array_some_equals,癸
qimen_capture_escape_tianwang_high,1,gan_interactions,range,array_some_equals,high
qimen_capture_escape_tianwang_yang_low,1,gan_interactions,heaven_gan,array_some_equals,癸
qimen_capture_escape_tianwang_yang_low,1,gan_interactions,range,array_some_equals,low
qimen_capture_escape_tianwang_yang_low,1,hour_polarity,,equals,yang
qimen_capture_escape_tianwang_direction,1,gan_interactions,heaven_gan,array_some_equals,癸
qimen_capture_escape_tianwang_direction,1,gan_interactions,direction,array_some_in,北|东北|东|东南|南|西南|西|西北
qimen_capture_escape_taibai,1,patterns,name,array_some_equals,太白入荧
qimen_thief_capture_geng_year,1,geng_ge,level,array_some_equals,year
qimen_thief_capture_geng_month,1,geng_ge,level,array_some_equals,month
qimen_thief_capture_geng_day,1,geng_ge,level,array_some_equals,day
qimen_thief_capture_geng_hour,1,geng_ge,level,array_some_equals,hour
qimen_thief_capture_geng_absent,1,geng_ge_status,,equals,absent
qimen_thief_capture_du_geng,1,geng_ge,door,array_some_equals,杜门
qimen_thief_capture_du_direction,1,doors,door,array_some_equals,杜门
qimen_thief_profile_noble,1,thief_context,lucky_pattern,array_some_equals,true
qimen_thief_profile_noble,1,thief_context,wang_shuai_label,array_some_in,旺|相
qimen_thief_profile_common,1,thief_context,lucky_pattern,array_some_equals,false
qimen_thief_profile_common,1,thief_context,wang_shuai_label,array_some_in,休|囚|废|未知
qimen_thief_profile_qian,1,thief_context,person_image,array_some_equals,老阳
qimen_thief_profile_kun,1,thief_context,person_image,array_some_equals,老妇
qimen_thief_profile_zhen,1,thief_context,person_image,array_some_equals,长男 / 壮男
qimen_thief_profile_kan,1,thief_context,person_image,array_some_equals,中男
qimen_thief_profile_gen,1,thief_context,person_image,array_some_equals,少男 / 童年
qimen_thief_profile_xun,1,thief_context,person_image,array_some_equals,长女
qimen_thief_profile_li,1,thief_context,person_image,array_some_equals,中女
qimen_thief_profile_dui,1,thief_context,person_image,array_some_equals,少女
qimen_thief_profile_inner,1,thief_context,domain,array_some_equals,inner
qimen_thief_profile_outer,1,thief_context,domain,array_some_equals,outer
qimen_lost_property_direction,1,lost_context,gong,array_some_in,坎|坤|震|巽|中|乾|兑|艮|离
qimen_lost_property_direction,1,lost_context,direction,array_some_in,北|东北|东|东南|南|西南|西|西北
qimen_lost_property_inner,1,lost_context,domain,array_some_equals,inner
