id,事件,结论,依据,经典原文,流年配偶星冲,流年配偶星克,流年财坏印,流年干忌神,岁运并临,天克地冲日柱,日犯岁君,伏吟流年,三刑流年,空亡填实,本命食伤旺,流年配偶星透,年柱干伏吟,流年支受克,大运干合流年干,大运支冲流年支,大运伏吟流年
yg_201,凶事,大运干合流年干——天干五合引动，合作变化之年,大运流年天干五合主合作变化,《三命通会》岁运引动,,,,,,,,,,,,,,,1,,
yg_202,凶事,大运支冲流年支——地支冲引动，重大变动之年,大运流年地支相冲主重大变动,《三命通会》岁运引动,,,,,,,,,,,,,,,,1,
yg_203,凶事,大运伏吟流年——伏吟主呻吟，内心焦虑压抑,伏吟主呻吟，内心焦虑,《三命通会》伏吟反吟,,,,,,,,,,,,,,,,,1
ying_107,凶事,凶事应期（配偶星受克+配偶宫冲）,流年配偶星克 + 流年配偶星冲 → 凶应（婚变/感情破败）,《三命通会》论冲：配偶星被克而宫位逢冲主凶事应期,1,1,,,,,,,,,,,,,,,
ying_108,凶事,凶事应期（配偶星受克）,流年干支克配偶星五行 → 配偶星受克主凶（婚变/感情受损）,《滴天髓》忌神论：配偶星（用神）受克主凶事应期,,1,,,,,,,,,,,,,,,
ying_112,健康,健康/精神凶年（财坏印）,流年干为印星、支为财星且财克印 → 印星主精神被财坏，心绪受损（《子平真诠》财星坏印；0001 1996 丙子）,《子平真诠》财星坏印,,,1,,,,,,,,,,,,,,
ying_113,凶事,凶事年（忌神透干：健康/破财/是非）,流年干为忌神五行 → 忌神攻身之年（0001 1996 丙火忌神抑郁；《子平真诠》忌神攻身）,《子平真诠》忌神攻身）,,,,1,,,,,,,,,,,,,
ying_114,凶事,凶事年（忌神透+财坏印）,忌神透干且财坏印 → 双凶叠加（0001 1996 丙子 抑郁）,《滴天髓》忌神论 + 《渊海子平》财坏印：忌神透而财坏印主凶年,,,1,1,,,,,,,,,,,,,
ying_h01,应期,岁运并临（流年=大运）→ 大变动之年（并临为忌/用神被冲可至重病/死亡——0060 2017 岁运并临后癌症不治）,岁运并临主大变动（古籍硬标注 H01-H03，参考 mingli-skills step8）,《三命通会》论岁运并临：流年与大运干支相同主大变动（古籍硬标注）,,,,,1,,,,,,,,,,,,
ying_h04,应期,流年天克地冲日柱 → 婚灾/自身灾大凶之年（用神被冲更甚）,天克地冲日柱主婚灾/自身灾（古籍硬标注 H04，参考 mingli-skills step8）,《三命通会》论天克地冲：流年天克地冲日柱主婚灾/自身灾,,,,,,1,,,,,,,,,,,
ying_h07,应期,日犯岁君（日干克流年干）→ 凶年（身弱更甚；五行有救反得财）,日犯岁君主凶（古籍明断 H07/H08，参考 mingli-skills step8）,《三命通会》论日犯岁君：日干克流年天干主凶（古籍明断）,,,,,,,1,,,,,,,,,,
ying_h09,应期,三刑成立（丑未戌/寅巳申齐）→ 断事年（健康/是非/破财——刑入正印丧母/偏财丧父）,三刑断事（古籍硬标注 H09/H19/H20，参考 mingli-skills step8）,《三命通会》论三刑：丑未戌/寅巳申三刑成立主断事（健康/是非/破财）,,,,,,,,,1,,,,,,,,
ying_h11,应期,伏吟日柱（流年=日柱）→ 本人或配偶有灾/破财,伏吟主灾（古籍硬标注 H11，参考 mingli-skills step8）,《三命通会》论伏吟：流年与日柱相同主本人或配偶有灾,,,,,,,,1,,,,,,,,,
ying_h15,应期,空亡填实 → 应吉凶之年（忌神填实应凶/用神填实应吉）,空亡填实主应事（古籍硬标注 H15/H16，参考 mingli-skills step8）,《三命通会》论空亡：空亡被流年填实主应吉凶,,,,,,,,,,1,,,,,,,
ying_h18,凶事,流年三刑 + 女命食伤重——损胎/子息损（《渊海子平》女命食伤逢冲刑主损胎；0019 2016 堕胎）,《渊海子平》女命食伤逢冲刑主损胎,《渊海子平》女命食伤逢冲刑主损胎,,,,,,,,,1,,1,,,,,,
ying_h19,婚变,流年夫/妻星透干 + 三刑 + 食伤重克官——婚变年（《三命通会》夫星透而流年刑冲主婚变；0018 2013 离婚）,《三命通会》夫星透干而流年刑冲主婚变——0018 2013 癸巳夫星透+三刑+食伤重,《三命通会》夫星透干流年刑冲主婚变,,,,,,,,,1,,1,1,,,,,
ying_h20,凶事,流年年柱干伏吟 + 三刑——父母宫动，家变/父母变动（离异/分居）（《三命通会》伏吟主变动；0119 2016 丙戌→丙申父母离异）,《三命通会》伏吟主变动——父母宫（年柱）伏吟+三刑主家变,《三命通会》伏吟主变动,,,,,,,,,1,,,,1,,,,
ying_h21,健康,本命五行亢（旺）而流年支受其克——健康凶年（本命失衡+流年引动应病；0005 本命土金旺克 2020 子水——健康出问题）,本命五行亢而流年受克应病（《滴天髓》五行情偏为病）,《滴天髓》五行情偏为病,,,,,,,,,,,,,,1,,,
