id,事件,结论,依据,经典原文,金旺,土旺,火弱,木弱,土弱,金弱,水弱,木旺,火旺,水旺,印星旺,比劫旺,财星旺,身强弱,七杀旺,比劫夺财,财星透有根,财星弱
jk_107,健康,金旺：肺/鼻/皮肤 亢而脆（易肺疾/鼻炎/呼吸系）,金主肺，金旺过极则肺金燥、气机肃降太过（《黄帝内经》五行亢盛）,《黄帝内经》五行亢盛）,1,,,,,,,,,,,,,,,,,
jk_109,健康,土旺：脾/胃/肌肉 壅滞（易肠胃/湿重/肥胖）,土主脾，土旺过极则脾胃壅滞（《黄帝内经》五行亢盛）,《黄帝内经》五行亢盛）,,1,,,,,,,,,,,,,,,,
jk_112,健康,火弱（休囚）：心/血脉 偏弱（易心悸/心气不足/血虚）,火主心，火不得令则心气弱（《黄帝内经》五行休囚）,《黄帝内经》五行休囚）,,,1,,,,,,,,,,,,,,,
jk_113,健康,木弱（休囚）：肝/胆/筋 偏弱（易肝郁/筋伤/眼目）,木主肝，木不得令则肝气郁（《黄帝内经》五行休囚）,《黄帝内经》五行休囚）,,,,1,,,,,,,,,,,,,,
jk_114,健康,土弱（休囚）：脾/胃 偏弱（易脾胃虚/食欲差）,土主脾，土不得令则脾虚（《黄帝内经》）,《黄帝内经》）,,,,,1,,,,,,,,,,,,,
jk_115,健康,金弱（休囚）：肺/鼻/皮毛 偏弱（易肺虚/鼻炎/易感）,金主肺，金不得令则肺气弱（《黄帝内经》）,《黄帝内经》）,,,,,,1,,,,,,,,,,,,
jk_116,健康,水弱（休囚）：肾/耳/骨 偏弱（易肾虚/耳鸣/腰膝）,水主肾，水不得令则肾气虚（《黄帝内经》）,《黄帝内经》）,,,,,,,1,,,,,,,,,,,
jk_201,健康,木旺：①克土（脾胃/肌肉）②生火耗木（心/目）——不得只查一个方向,五行亢盛双向应病（《黄帝内经》）：木旺克土伤脾胃、木生火耗木伤心目（fangfa/wuxing-jiankang.md）,《黄帝内经》）：木旺克土伤脾胃、木生火耗木伤心目（fangfa/wuxing-jiankang.md）,,,,,,,,1,,,,,,,,,,
jk_202,健康,火旺：①克金（肺/皮毛/大肠）②生土耗火（脾胃/血）——双向应病,火旺克金伤肺、火生土耗火伤心血（《黄帝内经》；fangfa/wuxing-jiankang.md）,《黄帝内经》,,,,,,,,,1,,,,,,,,,
jk_203,健康,水旺：①克火（心/血管/小肠）②生木耗水（肾/骨/耳）——双向应病,水旺克火伤心、水生木耗水伤肾（《黄帝内经》；fangfa/wuxing-jiankang.md）,《黄帝内经》,,,,,,,,,,1,,,,,,,,
xg_701,性格,七杀透干+身弱 → 胆小压抑、内心压力大（非冲动——杀旺身弱受制）,七杀强度状态取象（《子平真诠》杀旺身弱受制；fangfa/fangfa/shishen.md 身强弱前置）,《子平真诠》杀旺身弱受制,,,,,,,,,,,,,,身弱,1,,,
xg_702a,性格,知书达理、受庇护（印为用，身弱喜印）,印星身弱为用则受益（《子平真诠》印绶喜身弱；fangfa/shishen.md 身强弱取象）,《子平真诠》印绶喜身弱,,,,,,,,,,,1,,,身弱,,,,
xg_702b-not1,性格,依赖保守（身强印忌才依赖）,印星身强为忌则依赖保守（《子平真诠》印绶忌身强；fangfa/shishen.md 身强弱取象）,《子平真诠》印绶喜身弱,,,,,,,,,,,1,,,身强,,,,
xg_702b-not2,性格,依赖保守（身强印忌才依赖）,印星身强为忌则依赖保守（《子平真诠》印绶忌身强；fangfa/shishen.md 身强弱取象）,《子平真诠》印绶喜身弱,,,,,,,,,,,1,,,中和,,,,
cai_102,财运,破财、无理财观念（财被劫）,财弱 + 比劫旺夺财 → 财来财去、难积蓄（0030，比劫夺财《滴天髓》）,《滴天髓》）,,,,,,,,,,,,1,,,,,,1
cai_104,财运,财多身弱，富屋贫人（财难存）,身弱财旺 → 财多身不任，家财难守（《三命通会》富屋贫人）,《三命通会》富屋贫人）,,,,,,,,,,,,,1,身弱,,,0,
cai_205,财运,过手财（财多身弱 + 比劫夺财——钱来钱去难留）,财富层次（参考 mingli-skills phase6：过手财=财多身弱+比劫夺财）——cai_108 无蓄财之细化,《三命通会》富屋贫人：财多身弱而比劫夺财主过手财,,,,,,,,,,,,,1,身弱,,1,,
