id,事件,月令格,格神透干,母星得地,食神旺,正印旺,身强,身弱,从杀格,结论,依据,经典原文
ge_101,格局,正官,1,1,,,,,,正官格成（官印相生）：贵气、公职/管理,正官透干有印护 → 官印相生，贵格（《子平真诠》官星佩印）,《子平真诠》官星佩印）
ge_102,格局,正官,1,0,,,,,,正官格（无印护）：贵而劳，需行运补,官星无印 → 贵而不稳（《子平真诠》官无印则假）,《子平真诠》官无印则假）
ge_201,格局,七杀,,,1,,,,,食神制杀格：杀有制化，贵而掌权,七杀有食神制 → 杀刃相济，武贵/管理（《子平真诠》食神制杀）,《子平真诠》食神制杀）
ge_202,格局,七杀,,,0,0,,,,七杀无制：性刚多险，健康/官非倾向,七杀无制化 → 杀攻身，凶险（《子平真诠》杀无制则凶）,《子平真诠》杀无制则凶）
ge_301,格局,正财,1,,,,1,,,财格成（身强任财）：富格、财运好,正财透干 + 身强任财 → 富格（《子平真诠》财旺身强）,《子平真诠》财旺身强）
ge_302,格局,正财,,,,,,1,0,财多身弱：富屋贫人，财难守,财格身弱 → 财多身不任（《三命通会》富屋贫人）,《三命通会》富屋贫人）
ge_401,格局,正印,1,,,,,,,印格成（印透有根）：文贵、学业好,印绶格透干 → 文星得地，学业/文职（《子平真诠》印绶主文）,《子平真诠》印绶主文）
ge_501,格局,食神,1,,,,,,,食神格（吐秀）：才艺/福禄、口福好,食神吐秀 → 才艺福禄（《子平真诠》食神主福）,《子平真诠》食神主福）
ge_601,格局,伤官,,,,1,,,,伤官佩印格：才华横溢、聪明贵显,伤官佩印 → 才华得制，贵显（《子平真诠》伤官佩印）,《子平真诠》伤官佩印）
ge_602,格局,伤官,,,,0,,,,伤官无制：恃才傲物、口舌是非,伤官无印 → 才华外露招非（《子平真诠》伤官见官为祸百端）,《子平真诠》伤官见官为祸百端）
