id,事件,结论,依据,经典原文,偏财得地,偏财旺,比劫夺财,偏财弱,印星得令,印星弱,财印相战,印星得地,比劫旺,年柱被刑,月柱被刑,时柱被刑,子女星得地,印星旺,食伤现,食伤生财,食伤旺
liu_101,父星状态,父星旺而得地且不受克：父亲有地位或家计丰足（比劫夺财者父寿有损，不判无忧）,偏财（父）得地而旺 → 父荣（0131 父为政府职员）,《渊海子平》六亲论：父星（偏财）旺而得地主父亲有地位/家计丰,1,1,0,,,,,,,,,,,,,,
liu_102,父星状态,父星弱：父亲寿数/运势恐有波折,偏财（父）不得令且不强 → 父星衰（0047 父短寿）,《渊海子平》六亲论：父星弱主父亲寿数/运势波折,,,,1,,,,,,,,,,,,,
liu_103,父星状态,父星不现/不得地：父缘薄或父早不在身边,偏财（父）不现 → 父缘虚,《渊海子平》六亲论：父星不现主父缘薄或父早,0,,,,,,,,,,,,,,,,
liu_201,母星状态,母星得令：母亲康寿、荫庇厚,印（母）得令 → 母星旺（0047 母长寿）,《渊海子平》六亲论：母星（正印）得令主母亲康寿荫庇厚,,,,,1,,,,,,,,,,,,
liu_202,母星状态,母星弱：母亲体弱或母缘薄,印（母）不透无根 → 母星衰（0011 小时不在父母身边）,《渊海子平》六亲论：母星弱主母亲体弱或母缘薄,,,,,,1,,,,,,,,,,,
liu_301,父母关系,财印相战且母弱：父母关系有失和/母受压倾向,财旺克印 → 父凌母，家庭失和（《子平真诠》财印相战）,《子平真诠》财印相战）,,,,,,1,1,,,,,,,,,,
liu_302,父母关系,父母星俱得地且无相战：父母关系大体正常,父母星各安其位 → 家庭和谐,《渊海子平》六亲论：父母星俱得地无相战主父母关系大,1,,,,,,0,1,,,,,,,,,
liu_401,兄弟,比劫旺：兄弟姐妹多或竞争多,比劫旺 → 兄弟多/同侪竞争（0011 兄弟关系淡薄）,《渊海子平》六亲论：比劫旺主兄弟姐妹多/竞争多,,,,,,,,,1,,,,,,,,
liu_402,兄弟,比劫不旺：兄弟姐妹少或关系淡,比劫少 → 兄弟缘薄,《渊海子平》六亲论：比劫不旺主兄弟姐妹少/关系淡,,,,,,,,,0,,,,,,,,
lq_301,六亲,财星（父星）受比劫所克——父寿不永/父坎坷（《滴天髓》比劫夺财父星受损；0047 火旺克金父短寿）,比劫克财主父缘/父寿受损（《滴天髓》比劫夺财）,《滴天髓》比劫夺财,,,1,,,,,,,,,,,,,,
liu_501,父星关系,年柱被刑 → 与父亲关系不睦（宫刑伤父宫）,年柱为父之宫位（family.md：年柱被刑→与父亲关系不睦）——星（偏财父星）宫（年柱父宫）分野,《三命通会》宫位论,,,,,,,,,,1,,,,,,,
liu_502,兄弟,月柱被刑 → 兄弟姐妹散落/不睦（宫刑伤兄弟宫）,月柱为兄弟姐妹宫（family.md：月柱冲刑→兄弟姐妹散落或不睦）——比劫为兄弟星，月支刑伤主散,《三命通会》宫位论,,,,,,,,,,,1,,,,,,
liu_503,子女关系,时柱被刑 → 与子女关系不睦（宫刑伤子女宫）,时柱为子女宫（family.md：时柱冲刑→与子女关系不睦）——子女星为男官杀/女食伤，时支刑伤主不睦,《三命通会》宫位论,,,,,,,,,,,,1,,,,,
zv_103,子女,八字子女星得地 + 无枭印夺食（印旺克食伤）——有子女缘；克夺之象（枭印夺食）优先于得地——子嗣艰难（《三命通会》枭神夺食子嗣艰难；0058 无儿女）,《三命通会》枭神夺食，子嗣艰难——克夺之象 > 得地之象；0058 印旺克食伤（枭印夺食）致无儿女,《三命通会》枭神夺食，子嗣艰难,,,,,,,,,,,,,1,0,,,
zv_106b,子女,食伤重（八字）→ 子女缘（女命食伤为子女星）,女命食伤为子女星（八字六亲）——紫微子女宫看宫位状态（ziwei_zinv 承担——双盘对照）,《三命通会》论子女,,,,,,,,,,,,,,,,,1
zv_201,子女,时柱/命局枭印旺克食伤 → 克子息信号（子女缘薄/孕期波折）,印克食伤=克子女星（参考 mingli-skills phase6 6.5：时柱枭印克子、食伤被枭夺）,《渊海子平》论子女：枭印旺克食伤主克子息,,,,,,,,,,,,,,1,1,,
zv_202,子女,食伤生财 → 子女富裕/有财,食伤生财主子女生财（参考 mingli-skills phase6 6.5：食伤生财→子女富裕）,《渊海子平》食伤生财：食伤生财主子女富裕有财,,,,,,,,,,,,,,,,1,
