id,事件,父星得地,父星旺,父星弱,母星得令,母星弱,财印相战,母星得地,兄弟星旺,财星受克,结论,依据,经典原文
liu_101,父星状态,1,1,,,,,,,,父星旺而得地：父亲有地位或家计丰足,偏财（父）得地而旺 → 父荣（0131 父为政府职员）,《渊海子平》六亲论：父星（偏财）旺而得地主父亲有地位/家计丰
liu_102,父星状态,,,1,,,,,,,父星弱：父亲寿数/运势恐有波折,偏财（父）不得令且不强 → 父星衰（0047 父短寿）,《渊海子平》六亲论：父星弱主父亲寿数/运势波折
liu_103,父星状态,0,,,,,,,,,父星不现/不得地：父缘薄或父早不在身边,偏财（父）不现 → 父缘虚,《渊海子平》六亲论：父星不现主父缘薄或父早
liu_201,母星状态,,,,1,,,,,,母星得令：母亲康寿、荫庇厚,印（母）得令 → 母星旺（0047 母长寿）,《渊海子平》六亲论：母星（正印）得令主母亲康寿荫庇厚
liu_202,母星状态,,,,,1,,,,,母星弱：母亲体弱或母缘薄,印（母）不透无根 → 母星衰（0011 小时不在父母身边）,《渊海子平》六亲论：母星弱主母亲体弱或母缘薄
liu_301,父母关系,,,,,1,1,,,,财印相战且母弱：父母关系有失和/母受压倾向,财旺克印 → 父凌母，家庭失和（《子平真诠》财印相战）,《子平真诠》财印相战）
liu_302,父母关系,1,,,,,0,1,,,父母星俱得地且无相战：父母关系大体正常,父母星各安其位 → 家庭和谐,《渊海子平》六亲论：父母星俱得地无相战主父母关系大
liu_401,兄弟,,,,,,,,1,,比劫旺：兄弟姐妹多或竞争多,比劫旺 → 兄弟多/同侪竞争（0011 兄弟关系淡薄）,《渊海子平》六亲论：比劫旺主兄弟姐妹多/竞争多
liu_402,兄弟,,,,,,,,0,,比劫不旺：兄弟姐妹少或关系淡,比劫少 → 兄弟缘薄,《渊海子平》六亲论：比劫不旺主兄弟姐妹少/关系淡
lq_301,六亲,,,,,,,,,1,财星（父星）受比劫所克——父寿不永/父坎坷（《滴天髓》比劫夺财父星受损；0047 火旺克金父短寿）,比劫克财主父缘/父寿受损（《滴天髓》比劫夺财）,《滴天髓》比劫夺财
