id,事件,缺木,缺火,缺土,缺金,缺水,火旺,金旺,木旺,土旺,水旺,火弱,木弱,土弱,金弱,水弱,官杀有力,官杀为忌,食伤旺,食伤为忌,印星旺,印为忌,比劫旺,比劫为忌,财旺,财为忌,结论,依据,经典原文
jk_101,健康,1,,,,,,,,,,,,,,,,,,,,,,,,,五行缺木：肝/胆/筋骨/目 偏弱,木主肝（《黄帝内经》东方生风，风生木，木生酸，酸生肝）,《黄帝内经》东方生风，风生木，木生酸，酸生肝）
jk_102,健康,,1,,,,,,,,,,,,,,,,,,,,,,,,五行缺火：心/小肠/血脉 偏弱,火主心（南方生热，热生火，火生苦，苦生心）,《黄帝内经》五行五脏：缺火主心/小肠/血脉偏弱
jk_103,健康,,,1,,,,,,,,,,,,,,,,,,,,,,,五行缺土：脾/胃/肌肉 偏弱,土主脾（中央生湿，湿生土，土生甘，甘生脾）,《黄帝内经》五行五脏：缺土主脾/胃/肌肉偏弱
jk_104,健康,,,,1,,,,,,,,,,,,,,,,,,,,,,五行缺金：肺/大肠/鼻/皮毛 偏弱,金主肺（西方生燥，燥生金，金生辛，辛生肺）,《黄帝内经》五行五脏：缺金主肺/大肠/鼻/皮毛偏弱
jk_105,健康,,,,,1,,,,,,,,,,,,,,,,,,,,,五行缺水：肾/膀胱/耳/骨 偏弱,水主肾（北方生寒，寒生水，水生咸，咸生肾）,《黄帝内经》五行五脏：缺水主肾/膀胱/耳/骨偏弱
jk_106,健康,,,,,,1,,,,,,,,,,,,,,,,,,,,火旺：心/小肠/血脉 亢盛（易心悸/血压/眼疾）,火主心，火旺过极则心火亢（《黄帝内经》）,《黄帝内经》）
jk_107,健康,,,,,,,1,,,,,,,,,,,,,,,,,,,金旺：肺/鼻/皮肤 亢而脆（易肺疾/鼻炎/呼吸系）,金主肺，金旺过极则肺金燥、气机肃降太过（《黄帝内经》五行亢盛）,《黄帝内经》五行亢盛）
jk_108,健康,,,,,,,,1,,,,,,,,,,,,,,,,,,木旺：肝/胆/筋 亢盛（易肝胆/情绪/头风）,木主肝，木旺过极则肝阳亢（《黄帝内经》）,《黄帝内经》）
jk_109,健康,,,,,,,,,1,,,,,,,,,,,,,,,,,土旺：脾/胃/肌肉 壅滞（易肠胃/湿重/肥胖）,土主脾，土旺过极则脾胃壅滞（《黄帝内经》五行亢盛）,《黄帝内经》五行亢盛）
jk_110,健康,,,,,,,,,,1,,,,,,,,,,,,,,,,水旺：肾/膀胱/骨 亢而寒（易肾/水肿/腰腿）,水主肾，水旺过极则肾水寒（《黄帝内经》）,《黄帝内经》）
jk_111,健康,,,,,1,,,,,,,,,,,,,,,,,,,,,五行缺水：肾/脑/骨 偏弱（肾主骨生髓，髓通于脑）,肾主骨生髓、脑为髓海（《黄帝内经·素问》《灵枢·海论》）,《黄帝内经·素问》《灵枢·海论》）
jk_112,健康,,,,,,,,,,,1,,,,,,,,,,,,,,,火弱（休囚）：心/血脉 偏弱（易心悸/心气不足/血虚）,火主心，火不得令则心气弱（《黄帝内经》五行休囚）,《黄帝内经》五行休囚）
jk_113,健康,,,,,,,,,,,,1,,,,,,,,,,,,,,木弱（休囚）：肝/胆/筋 偏弱（易肝郁/筋伤/眼目）,木主肝，木不得令则肝气郁（《黄帝内经》五行休囚）,《黄帝内经》五行休囚）
jk_114,健康,,,,,,,,,,,,,1,,,,,,,,,,,,,土弱（休囚）：脾/胃 偏弱（易脾胃虚/食欲差）,土主脾，土不得令则脾虚（《黄帝内经》）,《黄帝内经》）
jk_115,健康,,,,,,,,,,,,,,1,,,,,,,,,,,,金弱（休囚）：肺/鼻/皮毛 偏弱（易肺虚/鼻炎/易感）,金主肺，金不得令则肺气弱（《黄帝内经》）,《黄帝内经》）
jk_116,健康,,,,,,,,,,,,,,,1,,,,,,,,,,,水弱（休囚）：肾/耳/骨 偏弱（易肾虚/耳鸣/腰膝）,水主肾，水不得令则肾气虚（《黄帝内经》）,《黄帝内经》）
jk_201,健康,,,,,,,,1,,,,,,,,,,,,,,,,,,木旺：①克土（脾胃/肌肉）②生火耗木（心/目）——不得只查一个方向,五行亢盛双向应病（《黄帝内经》）：木旺克土伤脾胃、木生火耗木伤心目（fangfa/wuxing-jiankang.md）,《黄帝内经》）：木旺克土伤脾胃、木生火耗木伤心目（fangfa/wuxing-jiankang.md）
jk_202,健康,,,,,,1,,,,,,,,,,,,,,,,,,,,火旺：①克金（肺/皮毛/大肠）②生土耗火（脾胃/血）——双向应病,火旺克金伤肺、火生土耗火伤心血（《黄帝内经》；fangfa/wuxing-jiankang.md）,《黄帝内经》
jk_203,健康,,,,,,,,,,1,,,,,,,,,,,,,,,,水旺：①克火（心/血管/小肠）②生木耗水（肾/骨/耳）——双向应病,水旺克火伤心、水生木耗水伤肾（《黄帝内经》；fangfa/wuxing-jiankang.md）,《黄帝内经》
jk_301,健康,,,,,,,,,,,,,,,,1,1,,,,,,,,,官杀攻身（官杀为忌）→ 外伤/手术/意外风险,官杀为忌攻身主外伤（《滴天髓》忌神为患；参考 mingli-skills phase6：官杀攻身→外伤手术意外）——官杀为用者不攻身,《滴天髓》忌神为患
jk_302,健康,,,,,,,,,,,,,,,,,,1,1,,,,,,,食伤过旺泄身（食伤为忌）→ 精力透支、身体虚,食伤为忌泄身主虚损（《滴天髓》；参考 mingli-skills phase6：食伤过旺→泄身体虚）——食伤为用者泄秀不虚,《滴天髓》
jk_303,健康,,,,,,,,,,,,,,,,,,,,1,1,,,,,印星过旺（印为忌）→ 代谢缓慢/肥胖/甲状腺问题,印为忌旺主代谢慢（《滴天髓》；参考 mingli-skills phase6：印星过旺→代谢缓慢/肥胖）——印为用者不生患,《滴天髓》
jk_304,健康,,,,,,,,,,,,,,,,,,,,,,1,1,,,比劫过旺（比劫为忌）→ 冲动致外伤/争斗,比劫为忌旺主冲动外伤（《滴天髓》；参考 mingli-skills phase6）——比劫为用者帮身不伤,《滴天髓》
jk_305,健康,,,,,,,,,,,,,,,,,,,,,,,,1,1,财星耗身（财为忌）→ 过度劳累/肾虚,财为忌耗身主劳累（《滴天髓》；参考 mingli-skills phase6：财星耗身→过度劳累/肾虚）——财为用者任财不耗,《滴天髓》
