assertion_id,factor,expected
jk_101,缺木,1
jk_102,缺火,1
jk_103,缺土,1
jk_104,缺金,1
jk_111,缺水,1
xg_101,日主五行,木
xg_102,日主五行,火
xg_103,日主五行,土
xg_104,日主五行,金
xg_105,日主五行,水
liu_101,偏财得地,1
liu_101,偏财旺,1
liu_101,比劫夺财,0
liu_102,偏财弱,1
liu_103,偏财得地,0
liu_201,印星得令,1
liu_202,印星弱,1
liu_301,印星弱,1
liu_301,财印相战,1
liu_302,偏财得地,1
liu_302,财印相战,0
liu_302,印星得地,1
liu_401,比劫旺,1
liu_402,比劫旺,0
lq_301,比劫夺财,1
liu_501,年柱被刑,1
liu_502,月柱被刑,1
liu_503,时柱被刑,1
zv_103,子女星得地,1
zv_103,印星旺,0
zv_106b,食伤旺,1
zv_201,印星旺,1
zv_201,食伤现,1
zv_202,食伤生财,1
fam_101,扶抑从格,从杀格
fam_102,年柱官杀攻身,1
fam_102,财坏印,1
fam_103,年柱官杀攻身,0
fam_103,财星透根,1
fam_103,身强弱,身强
fam_104,财星透根,0
fam_104,身强弱,身强
fam_104,印星透,1
fam_104,印多,1
fam_104,枭神夺食,0
fam_105,身强弱,身弱
fam_105,印有气,1
fam_105,财星旺,0
fam_105b,身强弱,身弱
fam_105b,印有气,0
fam_105b,财星旺,1
fam_107,印多,1
fam_107,财星弱,1
fam_107b,财星透根,0
fam_107b,枭神夺食,1
fam_108,身强弱,中和
fam_108,印有气,0
fam_108,财星旺,1
fam_109-not1,年柱官杀攻身,0
fam_109-not1,财坏印,1
fam_109-not1,身强弱,身弱
fam_109-not2,年柱官杀攻身,0
fam_109-not2,财坏印,1
fam_109-not2,身强弱,中和
fam_110,财星透根,0
fam_110,身强弱,身强
fam_111,身强弱,身弱
fam_111,财星弱,1
shi_102,女命官星得地格,0
shi_102,食伤生财,0
shi_102,官杀透,1
shi_102,比劫旺,1
shi_103,食伤生财,1
shi_103,身强弱,身弱
shi_104,食伤生财,1
shi_104,身强弱,中和
shi_104,官杀有力,1
shi_105,食伤生财,1
shi_108,女命官星得地格,0
shi_108,财星透根,1
shi_109,女命官星得地格,0
shi_109,食伤生财,0
shi_109,官杀透,0
shi_109,官杀有力,0
shi_109,官印相生,0
shi_109,财星透根,0
hun_101,配偶星透,1
hun_101,配偶星受克,0
hun_101,大运配偶星,0
hun_101,寡宿,0
hun_101,夫妻宫被冲,0
hun_101,性别,male
hun_101b,配偶星透,1
hun_101b,夫妻宫被冲,1
hun_101b,性别,male
hun_102,配偶星透,1
hun_102,配偶星受克,1
hun_102,性别,male
hun_102,夫妻宫破,1
hun_103,配偶星透,0
hun_103,大运配偶星,1
hun_103,性别,male
hun_103,配偶星藏,1
hun_103,配偶星混杂,0
hun_103,比劫重,1
hun_104,配偶星透,0
hun_104,大运配偶星,0
hun_104,性别,male
hun_104,配偶星藏,1
hun_104,比劫重,1
hun_104,配偶星得地,0
hun_105,大运配偶星,1
hun_105,性别,male
hun_105,配偶星藏,1
hun_105,比劫重,0
hun_105b,配偶星透,1
hun_105b,大运配偶星,1
hun_105b,性别,male
hun_105b,比劫重,1
hun_105c,配偶星透,0
hun_105c,大运配偶星,0
hun_105c,寡宿,0
hun_105c,性别,male
hun_105c,配偶星混杂,0
hun_105c,配偶星得地,1
hun_105d,配偶星透,0
hun_105d,大运配偶星,0
hun_105d,性别,male
hun_105d,配偶星混杂,1
hun_105d,配偶星得地,1
hun_105e,性别,female
hun_105e,配偶星混杂,1
hun_105e,配偶星得地,0
hun_105e,官杀取清,0
hun_106,寡宿,0
