id,category,event,subcategory,yongshen_wangshuai,yongshen_yuepo,yongshen_xunkong,dong_sheng,dong_ke,yuan_shen,ji_shen,结论,依据,经典原文,yehu_tip,pattern_interaction,common_misjudge
gen_101,general,通用,,旺,0,0,1,0,0,0,事可成,用神旺相+动爻生用→事可成,《增删卜易》,,,
gen_102,general,通用,,旺,0,0,0,1,0,0,事受阻,用神旺相但忌神动克→事有阻碍,《增删卜易》,,,
gen_103,general,通用,,旺,0,0,0,0,1,0,事有助力,用神旺相+原神动→有贵人相助,《增删卜易》,,,
gen_104,general,通用,,旺,0,0,0,0,0,1,事有阻碍,用神旺相但忌神动→有阻碍,《增删卜易》,,,
gen_105,general,通用,,休,0,0,1,0,0,0,事困难,用神休囚+动爻生用→事可成但费力,《增删卜易》,,,
gen_106,general,通用,,休,0,0,0,1,0,0,事难成,用神休囚+忌神动克→事难成,《增删卜易》,,,
gen_107,general,通用,,旺,1,0,0,0,0,0,事先挫后成,用神旺相+月破→先挫后成,《增删卜易》,,,
gen_108,general,通用,,旺,0,1,0,0,0,0,事迟成,用神旺相+旬空→迟成而非不成,《增删卜易》,,,
gen_109,general,年运,,旺,0,0,1,0,0,0,年运顺利,世爻旺相+动爻生用→年运顺利,《增删卜易》,年运以世爻休囚/得气为总纲,,
gen_110,general,年运,,旺,0,0,0,1,0,0,年运有阻碍,世爻旺相但忌神动克→年运有阻碍,《增删卜易》,致命叠加阈值≥3个=高危,,
gen_111,general,年运,,旺,0,0,0,0,1,0,年运有助力,世爻旺相+原神动→年运有助力,《增删卜易》,岁破年/太岁冲年为首要窗口,,
gen_112,general,年运,,旺,0,0,0,0,0,1,年运有阻碍,世爻旺相但忌神动→年运有阻碍,《增删卜易》,世爻逢长生年可为转机,,
gen_113,general,年运,,休,0,0,1,0,0,0,年运困难,世爻休囚+动爻生用→年运可成但费力,《增删卜易》,世爻休囚+化墓+回头克=高危,,
gen_114,general,年运,,休,0,0,0,1,0,0,年运难成,世爻休囚+忌神动克→年运难成,《增删卜易》,致命叠加阈值≥3个=高危,,
