id,事件,流年干忌神,财坏印,天克地冲日柱,伏吟流年,流年支受克,结论,依据,经典原文,流年神煞劫煞,流年神煞灾煞,流年神煞羊刃,流年日主墓,流年日主绝,流年日主病,流年神煞病符,流年神煞丧门,流年神煞吊客
yj_101,流年健康凶,1,,,,,忌神透干——健康压力候选（病灾须紫微疾厄/福德宫化忌确认，忌神年可能仅是非/破财）,流年忌神透干 → 忌神攻身之年（健康/破财/是非混杂，《子平真诠》忌神攻身）；健康凶年须与紫微疾厄忌/福德忌同现才定（2026 根因：yj_101 过宽误报）,《子平真诠》忌神攻身（须疾厄/福德确认）,,,,,,,,,
yj_102,流年身体损,,,,,1,流年支受克——身体/脏腑受损,流年地支受克 → 地支主内腑，受克主病（yingqi ying_h21 同构）,《渊海子平》地支受克,,,,,,,,,
yj_103,流年精神损,,1,,,,财坏印——精神/心理受损（印主精神）,财坏印：印星（精神）被财克 → 心绪受损（《子平真诠》财坏印；0001 财坏印抑郁）,《子平真诠》财坏印,,,,,,,,,
yj_104,流年健康大凶,,,1,,,天克地冲日柱——健康大凶年,流年天克地冲日柱 → 本命大冲，健康凶应（《三命通会》天克地冲）,《三命通会》天克地冲,,,,,,,,,
yj_105,流年健康应,,,,1,,伏吟日柱——健康应期候选,流年伏吟日柱 → 本命伏吟应期（《渊海子平》伏吟）,《渊海子平》伏吟,,,,,,,,,
yj_203,流年灾劫,,,,,,流年劫煞——灾劫/血光/破财是非候选,服务端流年神煞（bazi.liunian）→ 《三命通会》劫煞主劫夺灾,《三命通会》劫煞主劫夺灾,1,,,,,,,,
yj_204,流年灾劫,,,,,,流年灾煞——灾祸/意外候选,服务端流年神煞（bazi.liunian）→ 《三命通会》灾煞主灾,《三命通会》灾煞主灾,,1,,,,,,,
yj_205,流年羊刃,,,,,,流年羊刃——刚烈/血光/意外候选,服务端流年神煞（bazi.liunian）→ 《三命通会》羊刃主刃伤,《三命通会》羊刃主刃伤,,,1,,,,,,
yj_206,流年日主弱,,,,,,流年日主入墓——气收身弱年（健康/运势收敛）,本命 chang_sheng 表流年支落态 → 日主流年入墓 → 气收（《渊海子平》墓库论）,日主流年入墓 → 气收（《渊海子平》墓库论）,,,,1,,,,,
yj_207,流年日主弱,,,,,,流年日主临绝——气衰年（体弱/运势低谷候选）,本命 chang_sheng 表流年支落态 → 日主流年临绝 → 气衰（《三命通会》绝主衰）,日主流年临绝 → 气衰（《三命通会》绝主衰）,,,,,1,,,,
yj_208,流年日主弱,,,,,,流年日主临病——体弱/小恙候选,本命 chang_sheng 表流年支落态 → 日主流年临病 → 病态（十二长生病主弱）,日主流年临病 → 病态（十二长生病主弱）,,,,,,1,,,
yj_209,流年病灾,,,,,,值年病符临命——病灾候选（病符主病）,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》病符主病,《协纪辨方书》病符主病,,,,,,,1,,
yj_210,流年孝服,,,,,,值年丧门临命——孝服/丧事候选,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》丧门主孝服,《协纪辨方书》丧门主孝服,,,,,,,,1,
yj_211,流年孝服,,,,,,值年吊客临命——吊丧/孝服候选,引擎流年神煞（值年煞临命，《协纪辨方书》）→ 《协纪辨方书》吊客主吊丧,《协纪辨方书》吊客主吊丧,,,,,,,,,1
