id,事件,结论,依据,经典原文,女命官星得地格,身强弱,月令格,格神透干,印星得地,食神旺,正印旺,杀印相生,扶抑从格
shi_101,事业档位,女命官星得地（夫星旺）+ 无食伤透（不事外职）——持家为主,女命官星得地（夫星旺）+ 无食伤透（不事外职）→ 持家为主（S4）,《女命赋》：女命官星得地而无食伤透干主持家（主妇）,1,,,,,,,,
ge_101,格局,正官格成（官印相生）：贵气、公职/管理,正官透干有印护 → 官印相生，贵格（《子平真诠》官星佩印）,《子平真诠》官星佩印,,,正官格,1,1,,,,
ge_102,格局,正官格（无印护）：贵而劳，需行运补,官星无印 → 贵而不稳（《子平真诠》官无印则假）,《子平真诠》官无印则假,,,正官格,1,0,,,,
ge_201,格局,食神制杀格：杀有制化，贵而掌权,七杀有食神制 → 杀刃相济，武贵/管理（《子平真诠》食神制杀）,《子平真诠》食神制杀,,,七杀格,,,1,,,
ge_202,格局,七杀无制：性刚多险，健康/官非倾向,七杀无制化 → 杀攻身，凶险（《子平真诠》七杀无制则凶）,《子平真诠》七杀无制则凶,,,七杀格,,,0,0,,
ge_301,格局,财格成（身强任财）：富格、财运好,正财透干 + 身强任财 → 富格（《子平真诠》财旺身强）,《子平真诠》财旺身强,,身强,正财格,1,,,,,
ge_302,格局,财多身弱：富屋贫人，财难守,财格身弱 → 财多身不任（《三命通会》富屋贫人）,《三命通会》富屋贫人,,身弱,正财格,,,,,,
ge_401,格局,印格成（印透有根）：文贵、学业好,印绶格透干 → 文星得地，学业/文职（《子平真诠》印绶主文）,《子平真诠》印绶主文,,,正印格,1,,,,,
ge_501,格局,食神格（吐秀）：才艺/福禄、口福好,食神吐秀 → 才艺福禄（《子平真诠》食神主福）,《子平真诠》食神主福,,,食神格,1,,,,,
ge_601,格局,伤官佩印格：才华横溢、聪明贵显,伤官佩印 → 才华得制，贵显（《子平真诠》伤官佩印）,《子平真诠》伤官佩印,,,伤官格,,,,1,,
ge_602,格局,伤官无制：恃才傲物、口舌是非,伤官无印 → 才华外露招非（《子平真诠》伤官见官为祸百端）,《子平真诠》伤官见官为祸百端,,,伤官格,,,,0,,
ge_701,格局,月令建禄（日主临官在月）——身强，喜财官泄制,月令为日主禄，身强喜财官（《子平真诠》建禄格）,《子平真诠》格局论,,,建禄格,,,,,,
ge_702,格局,月令羊刃（日主帝旺在月）——身极强，喜官杀制刃,月令为日主羊刃，身极强喜官杀制（《子平真诠》羊刃格）,《子平真诠》格局论,,,月刃格,,,,,,
ge_703,格局,弃命从财（财星极旺+日主无根）——主富,财极旺日主无根，弃命从财主富（《子平真诠》从财格）,《子平真诠》从化论,,,,,,,,,从财格
ge_704,格局,弃命从杀（七杀极旺+日主无根）——主贵,杀极旺日主无根，弃命从杀主贵（《子平真诠》从杀格）,《子平真诠》从化论,,,,,,,,,从杀格
ge_705,格局,弃命从儿（食伤极旺+日主无根）——主才艺,食伤极旺日主无根，弃命从儿主才艺（《子平真诠》从儿格）,《子平真诠》从化论,,,,,,,,,从儿格
ge_706,格局,杀印相生（七杀旺+印星旺）——化杀为权，主贵,七杀旺印化杀，化杀为权主贵（《子平真诠》杀印相生格）,《子平真诠》格局论,,,,,,,,1,
ge_707,格局,从旺格（印比成势+日主无官杀克制）——顺势而强,印比成势、官杀不能制身 → 从旺顺势（《滴天髓》顺局）,《滴天髓》顺局,,,,,,,,,从旺格
ge_708,格局,假从旺（从旺而有微根/微制）——势成未纯,从旺之势已成但余气微根未净 → 假从，行运去留定成败（《子平真诠》从化）,《子平真诠》从化论,,,,,,,,,假从旺格
ge_709,格局,假从杀（杀势成而日主微根）——贵中有变,杀势成而日主微根 → 假从杀，运助杀则贵、扶身则逆（《子平真诠》从化）,《子平真诠》从化论,,,,,,,,,假从杀格
ge_710,格局,假从财（财势成而日主微根）——富中有变,财势成而日主微根 → 假从财，运助财则富、帮身则劳（《子平真诠》从化）,《子平真诠》从化论,,,,,,,,,假从财格
ge_711,格局,假从儿（食伤成势而日主微根）——才艺有成但心身劳,食伤成势而日主微根 → 假从儿，泄秀有成但根基不纯（《子平真诠》从化）,《子平真诠》从化论,,,,,,,,,假从儿格
ge_801,格局,偏财格：财气得月令，善机会财/经营财,偏财当值成格 → 机会财、经营财明显；身强善任，身弱须防财重身轻,《子平真诠》格局论,,,偏财格,,,,,,
ge_802,格局,偏印格：专业技艺/偏门学问有成,偏印当值成格 → 专业、技艺、宗教哲思偏门学问；见财破印则专长反复,《子平真诠》格局论,,,偏印格,,,,,,
ge_803,格局,杂格：月令藏干不入八格，取用须变通,月令比劫或藏干组合不入八格 → 以官杀制比劫、食伤泄秀、财星引化取用（《子平真诠》杂格）,《子平真诠》格局论,,,杂格,,,,,,
