id,事件,结论,依据,经典原文,缺木,缺火,缺土,缺金,缺水,日主五行
jk_101,健康,五行缺木：肝/胆/筋骨/目 偏弱,木主肝（《黄帝内经》东方生风，风生木，木生酸，酸生肝）,《黄帝内经》东方生风，风生木，木生酸，酸生肝）,1,,,,,
jk_102,健康,五行缺火：心/小肠/血脉 偏弱,火主心（南方生热，热生火，火生苦，苦生心）,《黄帝内经》五行五脏：缺火主心/小肠/血脉偏弱,,1,,,,
jk_103,健康,五行缺土：脾/胃/肌肉 偏弱,土主脾（中央生湿，湿生土，土生甘，甘生脾）,《黄帝内经》五行五脏：缺土主脾/胃/肌肉偏弱,,,1,,,
jk_104,健康,五行缺金：肺/大肠/鼻/皮毛 偏弱,金主肺（西方生燥，燥生金，金生辛，辛生肺）,《黄帝内经》五行五脏：缺金主肺/大肠/鼻/皮毛偏弱,,,,1,,
jk_111,健康,五行缺水：肾/脑/骨 偏弱（肾主骨生髓，髓通于脑）,肾主骨生髓、脑为髓海（《黄帝内经·素问》《灵枢·海论》）,《黄帝内经·素问》《灵枢·海论》）,,,,,1,
xg_101,性情,仁慈温和、重情义、有条理,木主仁，性直情和（《滴天髓》木之性仁）,《滴天髓》木之性仁）,,,,,,木
xg_102,性情,性急外向、热情、重礼,火主礼，性急而明（《滴天髓》火之性燥）,《滴天髓》火之性燥）,,,,,,火
xg_103,性情,敦厚守信、沉稳、包容,土主信，性厚而重（《滴天髓》土之性重）,《滴天髓》土之性重）,,,,,,土
xg_104,性情,刚毅果断、重义气、原则性强,金主义，性刚而决（《滴天髓》金之性刚）,《滴天髓》金之性刚）,,,,,,金
xg_105,性情,智巧多思、善变通、城府深,水主智，性巧而流（《滴天髓》水之性聪）,《滴天髓》水之性聪）,,,,,,水
